Unnamed: 0,Type,Name,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,ColorName_x,ColorName_y,ColorName,BreedName_x,BreedName_y,StateName_x
1078,1,Lilo,2,2.0,2.0,1,2,1,2,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,"playful, active and healthy",2e4eb9198,7.0,2,Black,Brown,White,Dalmatian,Mixed Breed,Kuala Lumpur
1038,2,Dazzle,4,2.0,2.0,2,2,1,1,1,1,50,41401,9a50c5d66f407a71f04cb6e0ef08c929,0,Very lovely and friendly kitty waiting for a lovely and friendly home!!,82a108c64,10.0,3,Black,Brown,White,Siamese,Domestic Medium Hair,Kuala Lumpur
1116,2,No Name Yet,2,2.0,2.0,1,2,2,2,1,1,0,41401,2878ca852f116ad07d0c8b75da381c4c,0,"a tiny kitten. her size is just so small! she is all left alone...after the eldest being adopted, the 2nd met in an accident and died. the mother is a bit depressed over the 2 kittens and did not really care much about her. She is quite independence, start to eat dry food and hide when many people around. there are feeders feeding her twice daily and now she is sleeping under some food stalls in one of the market. Urgent adopter needed!",54b2051c1,4.0,2,Black,Golden,Gray,Domestic Short Hair,Tabby,Kuala Lumpur
165,2,Baby,5,2.0,2.0,2,2,1,2,1,1,0,41326,253ffb8e460b67e342023a5563fb2e3c,0,"Active, playful and healthy",5d55a0cb3,3.0,1,Brown,Gray,White,Burmese,Siamese,Selangor
110,2,2 Playful Kittens,2,3.0,2.0,1,2,2,2,1,2,0,41326,98f959d5340d86f71ff3afd753ab4215,0,"Mother cat gave birth in my garden and I have been taking care of them since then. Both kittens are absolutely affectionate (manja). They will rush about in the morning meowing to greet you and send you all the way to your car! The male has a cute bobtail and will follow you everywhere just to be stroked and cuddled. The female has a longer tail and likes to be scratched. Both love to cuddle at your feet. They are both well-trained with cat litter. They are healthy, playful and intelligent (will look at your face and eyes and not just your hands :) They are about the size of a woman's hand and should grow up to be quite good looking for they have a lovely and elegant mum who looks like an Abyssinian mix with lovely green almond eyes. Anyone who can give them a loving home please contact me asap.",9e172ab13,4.0,1,Black,Golden,White,,,Selangor
998,2,Melor,5,2.0,1.0,1,2,2,2,1,1,0,41401,363c725ea5fa97d8e5a353bef63f7d68,0,"Hi, Melor perlukan mummy / daddy baru. Melor ni pemalu sikit, tapi bila dah dibelai kemain manja lagi. Dia tak bising pun, tapi suka lari2 & lepak dekat port best je. Perhatian : Self pick only. Waktu adoption selepas pukul 10 malam & sila bawa carrier sendiri.",20819afd9,3.0,3,Black,Yellow,White,Domestic Short Hair,Domestic Short Hair,Kuala Lumpur
520,2,Kittens (2 Months Old),2,3.0,2.0,1,2,2,2,1,5,0,41326,39006661857dd0ffccf95206e1d52981,0,"Hi guys, I have five (5) newly born kittens who are two (2) months old now and they're ready for adoption. 3 boys and 2 girls. They're healthy and very playful. No fees will be charged. Any one wants to adopt these cute guys please contact me. It doesn't matter if you want to adopt just one (1) kitten or two (2) or all five (5). Feel free to call me or whatsapp at (Hema). Can view the kittens no problem. I live in Shah Alam closer to Klang. Thanks!",d41f2a466,8.0,0,Black,Brown,White,American Shorthair,Bengal,Selangor
1027,2,Cute Fluffy Kitten,1,,1.0,2,2,1,2,1,1,0,41401,5ac530c66292db2bf05c62817768da22,0,"The kitten is tri-coloured and semi-Persian. She's about 3 weeks old which is why we haven't spayed her. If you want her spayed, you can adopt her and when she's old enough we'll bring her to the vet to be spayed. My friend found her in the garbage and took her to the vet. I fostered her and now she is currently being fostered by my cousin. She's very small and playful. her bites aren't painful (to me). Scratches just feel like feathers falling on you. She's currently being fed soft food and milk. She has already been taken to the vet and taken her medicine but we will take her to the vet on the 12th of June again to be absolutely sure she is worm-free. I don't know for how long my cousin can keep her :/ hoping to find a loving owner for her as soon as possible. If interested, you can contact me or Nicole (rescuer) at :) P.S. she is extremely cute.",143027239,2.0,1,Black,Brown,,,,Kuala Lumpur
492,2,Yeochi & Nabi,12,2.0,2.0,2,2,1,1,1,2,0,41326,17970c3bd5e77f1433149c0de0ec3d9f,0,"Yeochi: 12months(female / mix brown, white) Nabi : 1year and 2months(female / black) They are very cute, active and playful.. I love them so much..therefore i'm so sad about i should give them away.. reason why i give them away, i plan to move out to the other place.but there's the owner said he will accept only 1 cat.. (i tried to explain and persuaded him.. but he never want it.. even i dont understand what's the different with 1 or 2 cats!) however yeochi and navi are very close and dependence each others. so i thought better give away both together. they love to sleep on next to you or behind laptop when you are useing that. also they love to show their affection. they are very kind and charming cats! i swear both of them are very adorable and friendly :) i feed them loyal canin kitten to yeochi and loyal canin indoor to nabi. *i'm looking for serious cat lover and i hope it will their last adoption.* (plz help me to find their forever home!!!!) if you want to see more photos, leave the email address here. Tq :) if any serious cat lover, interest them, call or sms me anytime. - Belle- (plz sms me after 12am) *update* i realise its quite hard to give away both together. so i decision , if you interest only nabi or yeochi, i prepare to separate them... so plz contact me. tq",eaef39ceb,14.0,4,Black,Brown,White,Domestic Medium Hair,Domestic Short Hair,Selangor
1063,1,3 Shih Tzu Mixed Puppy,1,3.0,2.0,2,2,2,2,1,3,0,41401,34d6548d91bc086ba0a1276a34db7aff,0,3 Shih Tzu mixed puppy looking for daddy and mummy to love and caring them and they give all their love in return. Pls bring us home. Black and dark brown is female. Brown color is male. White with brown dot is male.,88f3a5fd6,0.0,4,Black,Brown,White,Mixed Breed,Mixed Breed,Kuala Lumpur
